"Positive","Negative","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","REP (1)/DEM (0)"
"199","83","40","77","17","68","91","34","40","159","1"
"38","30","21","12","4","26","17","13","7","44","1"
"5","8","5","4","3","5","5","6","0","5","1"
"104","83","43","57","29","44","27","49","22","71","1"
"123","15","14","35","3","21","45","7","15","96","1"
"134","21","21","48","9","22","40","6","18","95","1"
"159","79","32","99","18","50","79","32","33","102","1"
"21","5","2","9","0","4","12","0","1","13","1"
"386","175","75","186","38","130","148","71","55","256","1"
"319","145","61","150","30","98","129","67","47","212","1"
"308","107","60","126","26","90","130","50","61","199","1"
"334","150","69","145","31","117","112","55","53","227","1"
"202","83","52","77","19","60","75","31","27","160","1"
"160","68","28","67","20","61","74","35","41","125","1"
"65","47","18","28","23","36","17","27","10","46","1"
"195","83","27","59","15","55","44","25","15","154","1"
"52","27","4","16","6","13","7","9","4","33","1"
"179","165","100","73","44","154","63","61","43","134","1"
