"Positive","Negative","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","REP (1)/DEM (0)"
"54","28","13","29","5","22","14","16","8","37","0"
"48","42","20","16","6","34","9","17","9","37","0"
"55","26","12","20","4","29","10","7","5","38","0"
"58","42","19","26","12","23","25","25","11","39","0"
"58","29","13","26","7","19","18","13","8","34","0"
"69","29","17","27","6","21","28","15","12","46","0"
"60","29","18","25","7","24","22","16","11","41","0"
"68","33","16","32","9","21","29","16","13","42","0"
"60","27","13","28","9","18","18","12","11","38","0"
"53","27","13","19","7","22","20","15","8","46","0"
"66","29","10","28","8","18","20","14","9","42","0"
"88","37","15","36","11","33","40","19","22","68","0"
"63","46","17","27","22","35","16","26","9","45","0"
"67","28","9","20","5","18","15","8","5","52","0"
"77","40","5","23","8","19","10","13","5","49","0"
"57","52","32","23","14","49","20","19","13","42","0"
"80","34","18","29","11","23","27","12","13","59","0"
"71","25","15","30","10","18","30","7","12","45","0"
