"Positive","Negative","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","REP (1)/DEM (0)"
"73","30","14","28","6","24","33","12","14","58","1"
"59","46","32","18","6","40","26","20","10","68","1"
"31","50","31","25","18","31","31","37","0","31","1"
"39","31","16","21","10","16","10","18","8","26","1"
"125","15","14","35","3","21","45","7","15","97","1"
"119","18","18","42","8","19","35","5","16","84","1"
"48","24","9","30","5","15","24","9","10","31","1"
"75","18","7","32","0","14","43","0","3","46","1"
"79","36","15","38","7","26","30","14","11","52","1"
"72","32","13","33","6","22","29","15","10","47","1"
"74","25","14","30","6","21","31","12","14","47","1"
"69","31","14","30","6","24","23","11","11","47","1"
"76","31","19","28","7","22","28","11","10","60","1"
"88","37","15","36","11","33","40","19","22","68","1"
"63","45","17","27","22","35","16","26","9","44","1"
"66","28","9","20","5","18","15","8","5","52","1"
"76","39","5","23","8","19","10","13","5","48","1"
"57","52","32","23","14","49","20","19","13","42","1"
